customer_id,age,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,service_usage_gb,num_service_outages,avg_downtime_minutes,support_calls_last_3mo,billing_method,monthly_charges,total_charges
2055,62,0,0,0,0,17,1,1,22.732583025209063,2,30.84427962683652,3,0,65.27,1000.72
1961,59,1,0,1,0,55,0,1,9.538048485701095,1,0.3238815247539159,2,0,57.63,2924.11
1864,26,0,0,1,0,48,0,1,16.644331217778927,1,41.80035241939128,0,1,61.92,3036.21
2326,19,0,0,0,0,5,1,0,23.000293860283808,5,5.011422152973724,0,2,55.01,236.81
461,50,1,1,1,1,28,2,2,28.33419170558893,0,5.4047358400828,2,1,41.64,1068.94
109,40,0,0,1,1,65,0,1,24.17595979383461,3,18.447677819773084,4,1,78.79,4903.95
1962,44,1,0,1,1,60,1,2,38.82315603409344,0,10.732519992187088,2,2,49.16,2858.25
354,64,1,0,1,1,6,2,2,19.708627730395342,1,26.12986528467729,3,0,36.72,207.35
266,72,1,0,0,0,42,2,0,8.860680733814608,1,9.715151760066568,2,0,30.16,1159.2
1545,75,0,0,1,0,46,0,1,21.898512266055032,3,23.68767432790056,1,2,72.32,2838.52
530,32,0,0,1,0,50,1,0,15.543283265892295,0,2.588542952948365,1,0,28.31,1468.32
2446,20,1,0,1,0,17,1,1,12.503927581153594,0,17.741649332004947,2,2,50.44,886.71
290,21,0,0,1,1,25,2,2,20.62256686121377,1,1.299352493722261,5,1,37.27,972.73
605,79,0,0,0,0,39,2,1,22.618044912766443,0,4.342352204072904,1,0,70.43,2453.98
1560,31,1,0,0,1,21,0,1,31.157924412599773,1,4.276681531758407,1,0,76.47,1586.57
416,76,0,0,1,0,55,0,2,46.67706070308117,0,38.27415358708394,4,2,54.23,2539.29
472,37,1,0,1,1,61,1,1,12.724541801904214,1,5.918123022948956,1,2,53.36,2778.18
931,33,0,0,0,0,35,1,2,24.20689035229309,1,16.52074230764394,1,1,43.4,1477.41
2279,40,0,1,0,1,26,0,0,29.493142827365023,3,2.355742945120208,2,2,42.67,1026.75
2419,53,1,0,0,0,55,0,0,15.52911365584654,1,2.4784455310420594,0,1,37.65,2079.99
808,47,1,0,1,0,18,1,1,29.325391194340217,0,59.61666045982361,2,1,63.06,1035.53
798,79,1,0,0,0,54,0,1,13.27660345523007,1,2.902668930789351,1,0,54.35,2575.53
2491,47,1,1,0,1,6,0,0,49.988489832883324,0,4.364836087599048,0,1,53.29,331.38
930,57,0,1,1,0,22,0,0,13.066150999135166,2,28.548137204415248,1,1,36.84,800.2
278,20,1,0,1,0,65,0,0,26.19706039924602,0,18.675516319446707,0,2,47.99,2822.98
1517,52,1,0,1,0,56,1,1,16.318195978287015,1,19.181711014143943,2,2,54.71,3166.39
883,79,0,0,0,1,46,0,1,19.772733695359648,2,12.176930619676332,2,0,65.01,3099.38
1014,42,1,0,1,0,66,0,0,3.2118751806065364,1,13.410554053106544,2,0,24.96,1478.82
18,50,1,0,1,0,65,0,1,15.04000516064979,2,8.841028271602344,2,1,62.38,3839.44
1234,58,1,0,1,0,56,1,1,33.50555946811042,2,21.914995754404156,1,1,77.62,4090.12
2401,36,1,0,0,0,44,2,1,26.679962375264328,1,29.61203451835353,1,0,72.12,2882.43
1972,40,1,0,1,1,58,2,1,5.033028233643009,1,1.6680407380212323,3,0,58.31,2886.35
1532,55,1,0,1,0,31,0,0,26.71637405730456,0,3.5641049009889847,0,0,37.52,990.61
1902,23,1,1,0,0,40,0,1,9.84523303497261,2,13.998660293875332,2,1,61.11,2540.86
2133,22,1,0,1,0,33,0,0,24.558291771049056,0,5.87554461323071,3,1,32.88,985.28
1501,77,1,0,1,1,61,0,0,23.169495024238568,1,58.33008121709236,1,2,35.12,1851.61
1564,74,1,0,1,1,12,0,0,32.48513693294832,1,11.2521459358478,5,1,49.13,587.79
219,41,0,0,1,1,36,2,1,21.154723364232662,0,2.5063739797284064,1,1,68.68,2565.3
618,69,0,0,0,1,69,0,0,28.855276860390507,1,32.462258311153334,1,2,49.17,2904.55
1247,66,0,0,1,0,29,1,1,17.561374755997168,1,11.765836139898529,3,2,56.48,1710.16
303,76,1,0,1,0,1,0,0,13.393356076055596,3,27.116827645949257,2,2,42.17,40.12
1738,23,1,0,0,0,60,0,1,21.8243080230404,1,1.540141699672262,1,1,62.12,3386.39
2376,67,0,0,0,1,47,0,0,35.37070903149177,2,17.241188501990425,2,2,56.05,2577.77
2008,48,1,1,0,0,70,0,0,21.757437105076868,1,5.61948556444908,2,2,40.34,2957.61
2064,77,1,0,1,0,4,0,1,31.7946321022551,1,17.629800726180168,0,1,84.73,292.62
1295,60,1,0,1,0,1,2,0,14.7316790741701,1,78.72020488616089,0,2,21.08,21.8
2201,48,0,0,0,0,33,2,1,14.788938216071582,0,12.34411637027886,1,0,60.52,2033.86
879,20,1,0,1,0,33,2,1,8.974293237494068,1,9.36111569597426,0,2,53.59,1652.87
2158,61,1,0,0,0,54,1,1,19.67165376292897,0,19.946813760657168,2,2,59.63,3104.98
1005,42,0,1,1,0,54,0,0,33.00032894486598,0,23.89650330177785,0,2,44.61,2275.28
1033,45,1,1,0,0,44,0,0,20.26398572208481,0,6.589997134801209,1,1,31.2,1204.27
1505,65,1,0,0,0,20,0,1,20.98288357651465,0,18.089830996179657,6,1,53.79,974.31
1053,60,0,0,1,1,9,0,0,30.56415956468208,2,17.388291592292497,2,0,48.75,390.11
1869,29,1,0,0,1,39,1,1,27.94629252942726,2,14.25631167386757,2,2,74.73,2671.96
1100,70,0,0,0,1,18,1,0,25.96344311220151,2,11.793938288165942,4,0,54.0,883.52
192,76,1,0,1,0,66,1,0,29.70851700073926,0,6.524374960227664,1,1,39.47,2386.5
174,69,1,0,1,0,59,0,0,31.6314281092623,1,20.23935828842224,0,0,44.06,2669.49
765,34,1,0,0,0,22,0,1,30.00486966000437,0,1.1271189295048474,1,2,72.3,1591.69
1378,19,1,0,1,0,51,2,1,18.561328976379823,1,8.602374697869017,1,1,64.52,3241.38
1566,72,0,0,0,0,38,0,0,30.89698686675164,1,21.617073091196666,0,1,44.85,1561.33
1904,50,0,0,0,1,18,1,0,17.081860550225233,2,7.322390151436535,4,0,38.72,694.82
700,57,1,0,0,0,14,1,0,27.10807986045484,2,12.90693276800609,0,0,41.86,598.02
128,56,1,0,0,0,38,0,0,26.56807200535265,0,5.5332609915467925,1,2,42.46,1392.91
340,57,1,0,0,1,47,2,1,34.61342788659229,1,16.352185649933823,2,0,70.82,3023.08
2127,19,0,0,1,0,59,2,2,27.330623878668614,1,7.592044623463472,2,1,44.93,2401.81
647,41,0,1,0,0,59,0,1,22.818465109214543,1,10.475241963328983,2,1,65.59,3865.38
1286,37,1,0,1,1,48,0,2,19.989961583463504,4,7.558925346158862,0,2,57.82,2502.0
307,26,0,0,1,0,59,0,2,30.078703431265488,0,13.111063825853662,1,0,46.38,2364.7
383,35,1,0,1,1,9,0,2,16.303916257524765,1,23.66246113154884,0,2,35.74,284.13
1272,66,0,0,1,0,61,0,1,54.42823865113227,0,4.055358607366489,1,2,86.41,5156.59
2314,55,0,0,1,0,31,0,2,21.66476590833775,1,5.815206632558404,1,2,40.42,1088.55
1263,57,0,0,0,0,14,0,1,36.79287795606149,1,85.31274826176997,3,1,74.01,1015.34
177,42,1,0,0,0,35,1,0,10.378455606180689,0,9.682674545589377,2,0,24.56,759.76
426,44,0,0,1,0,26,2,0,10.27125766537379,0,15.116266988288915,0,1,20.0,466.22
786,73,1,0,0,1,71,0,0,37.209059287326,0,13.714466849593732,1,1,52.78,3651.93
