customer_id,age,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,service_usage_gb,num_service_outages,avg_downtime_minutes,support_calls_last_3mo,billing_method,monthly_charges,total_charges,churn
CUST000000,63,Female,1,1,1,18,Month-to-month,DSL,11.990931542920327,0,22.693882905407385,1,Bank transfer,23.76,425.97,1
CUST000001,20,Male,0,0,0,12,One year,Fiber Optic,25.75320156503823,0,27.559488830030784,4,Bank transfer,62.86,738.33,0
CUST000002,46,Male,0,0,0,50,Month-to-month,DSL,35.03858096704608,1,16.6907247539122,5,Bank transfer,52.85,2409.27,0
CUST000003,52,Female,0,1,0,56,One year,DSL,19.116138846608777,2,9.852138979299102,2,Electronic check,39.2,2148.38,1
CUST000004,56,Male,0,1,0,71,Month-to-month,DSL,19.357500347528564,1,11.499363427328845,0,Credit card,40.2,2666.37,1
CUST000005,35,Male,1,0,1,57,Month-to-month,DSL,21.666027248582594,1,3.208277817843987,2,Bank transfer,39.49,2160.77,0
CUST000006,37,Male,0,1,0,35,Month-to-month,DSL,29.99613955379763,2,0.7189772625061951,2,Bank transfer,48.4,1529.07,1
CUST000007,60,Female,0,0,1,62,Month-to-month,DSL,42.76297234870188,1,25.03524420917383,3,Bank transfer,65.66,3863.2,1
CUST000008,77,Male,0,0,1,52,One year,Fiber Optic,23.94709521835295,1,16.857726078679033,1,Credit card,64.34,3185.02,0
CUST000009,75,Male,0,0,1,61,Month-to-month,Fiber Optic,15.79779990092506,0,19.558859109033364,0,Credit card,67.23,3988.24,1
CUST000010,40,Female,0,0,1,13,Month-to-month,Fiber Optic,22.56665716077997,1,18.85227758039083,2,Electronic check,67.45,816.15,0
CUST000011,51,Female,0,0,0,8,Month-to-month,DSL,30.242915788549283,1,16.392329854928665,1,Electronic check,45.48,377.66,0
CUST000012,50,Female,0,0,0,46,Month-to-month,Fiber Optic,30.539847153841684,1,9.664571832136852,3,Bank transfer,80.97,3789.48,0
CUST000013,67,Male,0,1,0,26,Two year,DSL,26.191261404641484,2,22.968348975428356,2,Electronic check,44.06,1163.87,1
CUST000014,65,Female,0,1,0,59,Month-to-month,Fiber Optic,12.624463236953885,0,13.279654745067207,1,Electronic check,66.69,4129.83,0
CUST000015,27,Male,0,0,0,17,One year,Fiber Optic,27.358822935057713,1,4.505561285514754,4,Electronic check,68.65,1020.87,0
CUST000016,50,Male,0,1,1,21,Month-to-month,Fiber Optic,32.33697466704171,1,12.77127883235961,1,Electronic check,77.43,1696.92,0
CUST000017,64,Male,0,1,0,36,Two year,DSL,31.88820660015821,2,28.310381895546918,0,Bank transfer,65.21,2223.05,0
CUST000018,50,Male,0,1,0,65,Month-to-month,Fiber Optic,15.04000516064979,2,8.841028271602344,2,Credit card,62.38,3839.44,0
CUST000019,65,Female,0,0,1,13,Month-to-month,DSL,41.72764990111495,0,0.8050238175721751,1,Electronic check,48.03,635.07,0
CUST000020,43,Male,0,1,1,40,One year,Fiber Optic,22.81975573083357,1,29.996059375110946,0,Bank transfer,59.56,2307.81,1
CUST000021,37,Female,0,0,0,28,Month-to-month,DSL,24.054326734849067,2,16.505309726931877,4,Electronic check,44.35,1229.14,1
CUST000022,32,Male,0,0,0,54,Month-to-month,Fiber Optic,19.881657997723785,1,11.857262946030902,1,Electronic check,62.95,2944.97,1
CUST000023,79,Female,0,1,0,4,Two year,Fiber Optic,32.20306441501417,1,21.90419151233895,1,Bank transfer,69.32,258.81,1
CUST000024,54,Male,0,0,1,53,Two year,DSL,51.0264220850216,1,72.11533277498296,1,Electronic check,64.72,3079.85,0
CUST000025,50,Female,0,1,0,36,Two year,DSL,27.794528428459024,2,108.8201036680073,2,Credit card,46.6,1632.42,0
CUST000026,34,Male,0,1,1,45,Two year,DSL,18.0596278523452,3,16.602520629257945,3,Electronic check,45.57,2008.44,1
CUST000027,22,Male,0,0,1,15,One year,DSL,20.76888736615174,1,4.916359868160264,0,Credit card,39.38,550.51,0
CUST000028,67,Female,0,0,0,50,One year,None,61.46377749067416,2,5.828096621503674,0,Bank transfer,70.57,3176.45,1
CUST000029,73,Male,0,1,0,7,Two year,Fiber Optic,29.910985426192106,0,16.69730375918148,1,Credit card,65.4,449.95,0
CUST000030,21,Female,0,0,0,55,One year,DSL,13.0274532416399,1,10.570132989791905,1,Electronic check,33.19,1804.61,0
CUST000031,20,Female,1,1,0,18,Month-to-month,DSL,43.601095350427165,1,3.6712301783625985,1,Electronic check,56.36,888.45,1
CUST000032,38,Male,0,1,1,44,Month-to-month,DSL,9.564103289744894,2,8.09943616011319,1,Electronic check,29.57,1345.41,1
CUST000033,57,Female,0,1,1,35,Month-to-month,Fiber Optic,33.52117907577158,1,2.1261409449266893,2,Electronic check,76.34,2695.11,1
CUST000034,20,Male,1,1,0,21,Month-to-month,None,24.173366515004012,3,15.943223789780552,3,Bank transfer,42.15,861.48,0
CUST000035,38,Female,0,0,1,33,One year,None,24.370519969075907,2,20.658852416784082,2,Bank transfer,40.4,1390.21,1
CUST000036,65,Female,0,0,0,23,One year,Fiber Optic,15.991825794680562,0,21.462871010967667,1,Electronic check,50.47,999.93,0
CUST000037,74,Male,0,0,0,57,One year,Fiber Optic,28.06453710882604,2,35.18695217095022,0,Credit card,69.89,3398.29,1
CUST000038,79,Male,0,0,0,2,Month-to-month,Fiber Optic,15.464587420522856,1,3.2798171842536665,2,Electronic check,60.48,102.88,1
CUST000039,66,Female,0,1,1,23,Month-to-month,DSL,26.69195856902201,0,0.2701892516058729,0,Electronic check,51.3,1126.15,1
CUST000040,25,Male,0,0,0,46,Month-to-month,DSL,19.130520329393338,4,68.29411599272595,3,Credit card,41.08,1730.2,1
CUST000041,59,Female,0,1,0,67,Month-to-month,Fiber Optic,21.40849811038644,3,59.173383875405605,0,Bank transfer,68.6,4448.0,0
CUST000042,53,Male,0,1,0,44,Month-to-month,DSL,45.583796160336874,2,4.281580049793709,3,Electronic check,65.37,2486.69,0
CUST000043,78,Male,0,0,0,4,One year,DSL,18.009187239173265,2,6.284843362951651,4,Electronic check,46.02,156.49,1
CUST000044,46,Male,0,1,0,52,Two year,None,28.417657361169425,0,36.398803761406576,2,Credit card,46.63,2307.91,0
CUST000045,70,Female,0,0,0,20,Month-to-month,DSL,38.31442701951845,1,20.17786766795369,1,Credit card,49.84,975.52,1
CUST000046,56,Male,1,1,0,63,One year,Fiber Optic,22.623856476074153,0,31.471268025367166,2,Credit card,61.7,3350.18,0
CUST000047,51,Female,1,0,1,34,Month-to-month,Fiber Optic,23.85587354452007,0,31.382616500227133,1,Bank transfer,70.72,2183.98,1
CUST000048,39,Male,0,0,1,20,Month-to-month,DSL,28.022435728651345,0,26.442166133316455,2,Electronic check,47.73,917.08,1
CUST000049,72,Male,0,1,0,13,Month-to-month,None,27.42792206744722,2,4.495771053984165,1,Bank transfer,52.41,663.19,0
CUST000050,48,Female,0,1,0,41,Month-to-month,None,22.046491875447987,0,16.70342044000907,1,Credit card,36.5,1544.57,1
CUST000051,45,Female,0,1,0,23,One year,None,30.8615686520273,0,13.48592293180922,1,Bank transfer,43.0,948.9,0
CUST000052,52,Female,0,0,0,13,One year,DSL,20.95028166231174,2,47.31345875653727,2,Credit card,40.2,471.99,0
CUST000053,51,Male,1,0,0,8,Two year,DSL,20.813905621332516,1,10.058827915977158,0,Bank transfer,38.23,267.36,0
CUST000054,30,Female,0,0,0,43,Month-to-month,DSL,23.009976780843235,0,15.672574471197544,1,Bank transfer,24.57,1098.08,0
CUST000055,58,Female,0,0,1,13,One year,Fiber Optic,31.18498073647451,0,39.709735305302104,2,Electronic check,64.72,818.64,0
CUST000056,21,Female,0,1,0,66,Two year,DSL,41.86421012642271,1,69.29573399589626,3,Credit card,65.15,4255.95,0
CUST000057,60,Male,1,0,1,35,One year,None,37.57726051270372,2,43.723528808428256,1,Credit card,52.75,1923.88,0
CUST000058,23,Male,0,1,0,21,Month-to-month,None,29.603838849830385,0,2.7365531912741696,2,Credit card,43.51,823.46,1
CUST000059,18,Male,0,0,0,30,Two year,Fiber Optic,17.487079429937467,2,2.7009888126928723,1,Credit card,58.61,1627.22,0
CUST000060,29,Male,0,0,1,4,One year,Fiber Optic,14.302494479068315,1,51.4987316889933,3,Credit card,62.53,212.63,0
CUST000061,52,Male,0,0,0,67,One year,DSL,26.58070581727547,0,3.7353044177180106,2,Bank transfer,44.34,2824.98,0
CUST000062,76,Male,0,1,0,29,Month-to-month,None,16.93215215830711,1,20.1823307610265,0,Bank transfer,27.96,804.98,0
CUST000063,28,Male,0,0,0,66,Month-to-month,DSL,12.838598350653514,1,0.05102143706551035,3,Credit card,31.7,1964.18,1
CUST000064,40,Female,0,1,0,69,Month-to-month,Fiber Optic,33.09860491932018,1,5.097962060115595,0,Bank transfer,70.84,4800.14,0
CUST000065,31,Female,0,1,0,44,Month-to-month,None,37.9285112420142,1,12.109306868553615,3,Bank transfer,36.6,1660.51,0
CUST000066,36,Female,0,0,0,34,One year,Fiber Optic,20.09434704865901,2,10.42432409503266,3,Electronic check,68.23,2135.17,1
CUST000067,54,Male,0,0,0,61,One year,DSL,41.04887914005897,1,3.617867979591299,3,Bank transfer,50.61,2907.27,1
CUST000068,33,Male,0,0,0,7,Month-to-month,None,52.112546235324146,0,23.47823099955047,3,Electronic check,57.29,414.13,0
CUST000069,61,Male,1,1,0,16,One year,Fiber Optic,19.827427137658304,2,12.114333011878992,0,Credit card,73.38,1209.28,0
CUST000070,45,Female,0,0,1,34,Month-to-month,None,22.536569082605865,1,20.030278830005326,2,Electronic check,35.56,1183.81,0
CUST000071,79,Male,0,1,0,40,Month-to-month,None,29.875668487414913,1,7.555639708750026,1,Bank transfer,49.24,1674.8,1
CUST000072,62,Male,1,0,0,35,Two year,Fiber Optic,23.525287882935622,1,12.174755953478115,2,Credit card,64.95,1967.99,0
CUST000073,48,Female,0,0,0,28,Two year,DSL,13.864591374658914,2,15.920830949786271,0,Electronic check,43.46,1267.79,1
CUST000074,70,Male,0,0,0,8,Month-to-month,DSL,11.754076813833185,3,0.5680106545250956,2,Bank transfer,39.03,271.21,1
CUST000075,24,Female,0,0,0,68,Month-to-month,Fiber Optic,21.451315035070834,0,12.827657975103053,2,Bank transfer,63.93,4231.92,1
CUST000076,63,Male,0,1,1,8,One year,DSL,16.332423217771385,2,1.6588250478500546,0,Bank transfer,36.77,277.22,0
CUST000077,69,Female,0,1,0,24,Month-to-month,DSL,34.132594254711094,0,21.448412008431056,1,Credit card,47.16,1017.48,1
CUST000078,44,Male,0,0,0,10,Month-to-month,DSL,26.738122905509183,1,10.222538969934217,0,Bank transfer,36.37,325.61,0
CUST000079,34,Female,0,0,1,12,Month-to-month,DSL,34.54093159575542,0,16.44908061927301,3,Electronic check,50.42,568.93,0
CUST000080,24,Male,0,1,0,49,Month-to-month,Fiber Optic,18.750554517237592,0,0.8726380972129043,2,Credit card,64.04,3270.19,1
CUST000081,32,Male,1,1,1,32,Month-to-month,DSL,15.680769234845231,0,2.593110720235522,4,Electronic check,23.45,686.09,0
CUST000082,70,Female,0,1,0,40,Two year,Fiber Optic,15.514310972529842,0,29.642689991495583,1,Bank transfer,51.88,1955.97,0
CUST000083,57,Male,0,0,0,62,Month-to-month,Fiber Optic,25.772942211942098,1,13.514444469002722,1,Bank transfer,65.36,3683.21,0
CUST000084,29,Female,0,1,0,63,Month-to-month,Fiber Optic,28.271783853109028,3,19.759760145828565,0,Electronic check,78.1,4582.03,1
CUST000085,72,Female,0,0,0,7,Month-to-month,DSL,33.27258898475521,1,10.293815175544307,2,Credit card,51.61,372.82,1
CUST000086,25,Male,0,1,0,53,Month-to-month,None,13.215853838638969,0,23.55568363393667,1,Credit card,37.04,1806.76,0
CUST000087,19,Female,0,0,0,32,Month-to-month,Fiber Optic,14.862479808570177,1,2.3561858741077395,1,Electronic check,56.81,1817.06,1
CUST000088,61,Male,0,1,1,10,Month-to-month,Fiber Optic,19.233192298090533,1,10.479229296114191,3,Electronic check,58.66,613.17,1
CUST000089,76,Male,0,0,0,57,One year,Fiber Optic,12.174498527641793,0,133.0524214881161,2,Credit card,52.64,3062.33,0
CUST000090,55,Male,0,0,1,47,Month-to-month,None,37.835510310158625,1,1.3260446953654732,0,Electronic check,47.75,2000.22,0
CUST000091,73,Male,0,1,0,17,Month-to-month,DSL,22.797796234938076,1,20.887842113032306,0,Electronic check,52.35,929.39,0
